Consumption,Production,NetImportExport,HydroPower,NuclearPower,CogenerationDistrictHeating,CogenerationIndustry,WindPower,SolarPower,OtherProduction,ElectricityPriceInFinland,Ruotsi,Viro,Norja,Timestamp;
7719.3,7373.8,-318.09,1024.8,3943.8,168.17,723.67,1445.5,0,65,20.01,-1581,658,-17.23,"2024-10-12T00:30:00Z";
8488.4,8421.7,-80.961,1115.3,3958.5,169,666.66,2188,258.8,67,11.94,-770.5,554.2,-67.4,"2024-10-12T12:30:00Z";
8346.8,9332.2,988.56,953.5,3749.3,165,657.5,3735.5,0,69,-0.07,-348.6,1016,-51.31,"2024-10-13T00:30:00Z";
8548,7694.3,-804.73,1388.2,3956.3,161,651.5,1274.5,167.7,75,7.92,-732,407.4,-47.26,"2024-10-13T12:30:00Z";
7837.2,7458.7,-355.42,1740.2,4155.5,287,804,406.51,0,65,22.73,-1414.4,989.3,-67.39,"2024-10-14T00:30:00Z";
8928.1,8309.7,-576.75,1910.2,4187,911.17,1089.7,-4.0021,120.2,61,144.21,-1592,758.7,-55.39,"2024-10-14T12:30:00Z";
8066.4,7554,-515.02,1500.8,4160.5,233,942.17,647.48,0,67,25.68,-1609,1016,12.68,"2024-10-15T00:30:00Z";
9190,9221,32.626,1785.2,4151.8,252.83,820.17,1907.4,270.4,61,28.13,-1430.1,1016,-45.02,"2024-10-15T12:30:00Z";
8358.3,9610.5,1248.8,1218.7,4133,196.83,771.67,3217,0,71,5.3,-333.4,1006,-40.25,"2024-10-16T00:30:00Z";
9234.4,10297,1062.5,1542.2,4119.2,159.17,755,3443,237.8,57,4.13,-1283.5,907.8,-18.74,"2024-10-16T12:30:00Z";
8358.3,10835,1443.9,1185.7,3573.7,150,758,4904,0,61,0.05,361.9,1003.6,0.73,"2024-10-17T00:30:00Z";
9390.8,10835,1443.9,1185.7,3573.7,150,758,4904,217.4,61,0.05,432.8,910.4,0.27,"2024-10-17T12:30:00Z";
8165,9561.3,1404.6,790,3554,142.83,748.66,4260.5,0,61,0.15,534,1003.6,0.27,"2024-10-18T00:30:00Z";
9295.9,10457,1147.1,1446.5,3611,177.17,724,4289.6,185.4,55,4,350,1016,0.5,"2024-10-18T12:30:00Z";
7956.3,9200.7,1240.2,1096.8,3942.8,171.17,756.5,3172.5,0,59,2.91,-32.1,995.8,0.5,"2024-10-19T00:30:00Z";
8804.2,9117.7,306.42,1273.2,3939.7,225,773.66,2673.5,181.9,49,4.91,-566.2,557.8,0.3,"2024-10-19T12:30:00Z";
7985,9574,1573.1,1142.5,3632.5,172,774.67,3790.1,0,61,0.96,754.3,1003.3,0.37,"2024-10-20T00:30:00Z";
8909,10042,1141.2,1320.2,3628,155.83,770.66,4022,108.8,59,-2.01,481.3,971.7,0.31,"2024-10-20T12:30:00Z";
