Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Keskituulen nopeus [m/s]
Vaasa Klemettilä,2024,9,10,03:00,5.7
Vaasa Klemettilä,2024,9,10,04:00,6.1
Vaasa Klemettilä,2024,9,10,05:00,6.3
Vaasa Klemettilä,2024,9,10,06:00,6.4
Vaasa Klemettilä,2024,9,10,07:00,5.8
Vaasa Klemettilä,2024,9,10,08:00,6.3
Vaasa Klemettilä,2024,9,10,09:00,6.8
Vaasa Klemettilä,2024,9,10,10:00,7.7
Vaasa Klemettilä,2024,9,10,11:00,8.3
Vaasa Klemettilä,2024,9,10,12:00,8.3
Vaasa Klemettilä,2024,9,10,13:00,9.7
Vaasa Klemettilä,2024,9,10,14:00,9.4
Vaasa Klemettilä,2024,9,10,15:00,9.7
Vaasa Klemettilä,2024,9,10,16:00,9.8
Vaasa Klemettilä,2024,9,10,17:00,9.5
Vaasa Klemettilä,2024,9,10,18:00,9.7
Vaasa Klemettilä,2024,9,10,19:00,8.8
Vaasa Klemettilä,2024,9,10,20:00,8
Vaasa Klemettilä,2024,9,10,21:00,7.3
Vaasa Klemettilä,2024,9,10,22:00,6.4
Vaasa Klemettilä,2024,9,10,23:00,5.8
Vaasa Klemettilä,2024,9,11,00:00,6.1
Vaasa Klemettilä,2024,9,11,01:00,6.2
Vaasa Klemettilä,2024,9,11,02:00,4.5
Vaasa Klemettilä,2024,9,11,03:00,4.4
Vaasa Klemettilä,2024,9,11,04:00,3.7
Vaasa Klemettilä,2024,9,11,05:00,3.5
Vaasa Klemettilä,2024,9,11,06:00,4.2
Vaasa Klemettilä,2024,9,11,07:00,3.9
Vaasa Klemettilä,2024,9,11,09:00,4.2
Vaasa Klemettilä,2024,9,11,10:00,4.4
Vaasa Klemettilä,2024,9,11,11:00,5.4
Vaasa Klemettilä,2024,9,11,12:00,5.3
Vaasa Klemettilä,2024,9,11,13:00,5.3
Vaasa Klemettilä,2024,9,11,14:00,6
Vaasa Klemettilä,2024,9,11,15:00,5.3
Vaasa Klemettilä,2024,9,11,16:00,5.4
Vaasa Klemettilä,2024,9,11,17:00,5.5
Vaasa Klemettilä,2024,9,11,18:00,5.2
Vaasa Klemettilä,2024,9,11,19:00,4.7
Vaasa Klemettilä,2024,9,11,20:00,6
Vaasa Klemettilä,2024,9,11,21:00,5.7
Vaasa Klemettilä,2024,9,11,22:00,7.1
Vaasa Klemettilä,2024,9,11,23:00,7.3
Vaasa Klemettilä,2024,9,12,00:00,7.3
Vaasa Klemettilä,2024,9,12,01:00,7.8
Vaasa Klemettilä,2024,9,12,02:00,6.9
Vaasa Klemettilä,2024,9,12,03:00,7.2
Vaasa Klemettilä,2024,9,12,04:00,6
Vaasa Klemettilä,2024,9,12,05:00,6.5
Vaasa Klemettilä,2024,9,12,06:00,4.9
Vaasa Klemettilä,2024,9,12,07:00,4.3
Vaasa Klemettilä,2024,9,12,08:00,3.2
Vaasa Klemettilä,2024,9,12,09:00,3
Vaasa Klemettilä,2024,9,12,10:00,3.1
Vaasa Klemettilä,2024,9,12,11:00,3
Vaasa Klemettilä,2024,9,12,12:00,3.8
Vaasa Klemettilä,2024,9,12,13:00,4.7
Vaasa Klemettilä,2024,9,12,14:00,4.8
Vaasa Klemettilä,2024,9,12,15:00,4.1
Vaasa Klemettilä,2024,9,12,16:00,4.2
Vaasa Klemettilä,2024,9,12,17:00,4
Vaasa Klemettilä,2024,9,12,18:00,3.8
Vaasa Klemettilä,2024,9,12,19:00,3
Vaasa Klemettilä,2024,9,12,20:00,2.4
Vaasa Klemettilä,2024,9,12,21:00,2.1
Vaasa Klemettilä,2024,9,12,22:00,2.3
Vaasa Klemettilä,2024,9,12,23:00,2.4
Vaasa Klemettilä,2024,9,13,00:00,2.3
Vaasa Klemettilä,2024,9,13,01:00,2.2
Vaasa Klemettilä,2024,9,13,02:00,2.5
Vaasa Klemettilä,2024,9,13,03:00,2.3
Vaasa Klemettilä,2024,9,13,04:00,1.5
Vaasa Klemettilä,2024,9,13,05:00,2.3
Vaasa Klemettilä,2024,9,13,06:00,1.8
Vaasa Klemettilä,2024,9,13,07:00,2.2
Vaasa Klemettilä,2024,9,13,08:00,1.6
Vaasa Klemettilä,2024,9,13,09:00,1.2
Vaasa Klemettilä,2024,9,13,10:00,1.5
Vaasa Klemettilä,2024,9,13,11:00,1.7
Vaasa Klemettilä,2024,9,13,12:00,2.3
Vaasa Klemettilä,2024,9,13,13:00,1.8
Vaasa Klemettilä,2024,9,13,14:00,1.6
Vaasa Klemettilä,2024,9,13,15:00,1.9
Vaasa Klemettilä,2024,9,13,16:00,2.1
Vaasa Klemettilä,2024,9,13,17:00,1.7
Vaasa Klemettilä,2024,9,13,18:00,2.5
Vaasa Klemettilä,2024,9,13,19:00,2.2
Vaasa Klemettilä,2024,9,13,20:00,2.1
Vaasa Klemettilä,2024,9,13,21:00,2.3
Vaasa Klemettilä,2024,9,13,22:00,2
Vaasa Klemettilä,2024,9,13,23:00,2
Vaasa Klemettilä,2024,9,14,00:00,2
Vaasa Klemettilä,2024,9,14,01:00,1.9
Vaasa Klemettilä,2024,9,14,02:00,2
Vaasa Klemettilä,2024,9,14,03:00,1.9
Vaasa Klemettilä,2024,9,14,04:00,1.7
Vaasa Klemettilä,2024,9,14,05:00,2.4
Vaasa Klemettilä,2024,9,14,06:00,1.9
Vaasa Klemettilä,2024,9,14,07:00,2.3
Vaasa Klemettilä,2024,9,14,08:00,2.9
Vaasa Klemettilä,2024,9,14,09:00,3.3
Vaasa Klemettilä,2024,9,14,10:00,3.8
Vaasa Klemettilä,2024,9,14,11:00,3.5
Vaasa Klemettilä,2024,9,14,12:00,4.4
Vaasa Klemettilä,2024,9,14,13:00,4.7
Vaasa Klemettilä,2024,9,14,14:00,5
Vaasa Klemettilä,2024,9,14,15:00,5.4
Vaasa Klemettilä,2024,9,14,16:00,5
Vaasa Klemettilä,2024,9,14,17:00,5
Vaasa Klemettilä,2024,9,14,18:00,4.9
Vaasa Klemettilä,2024,9,14,19:00,3.3
Vaasa Klemettilä,2024,9,14,20:00,2.8
Vaasa Klemettilä,2024,9,14,21:00,2.8
Vaasa Klemettilä,2024,9,14,22:00,3.2
Vaasa Klemettilä,2024,9,14,23:00,3.3
Vaasa Klemettilä,2024,9,15,00:00,3.5
Vaasa Klemettilä,2024,9,15,01:00,3.6
Vaasa Klemettilä,2024,9,15,02:00,3.4
Vaasa Klemettilä,2024,9,15,03:00,3.3
Vaasa Klemettilä,2024,9,15,04:00,3.2
Vaasa Klemettilä,2024,9,15,05:00,3.4
Vaasa Klemettilä,2024,9,15,06:00,3.1
Vaasa Klemettilä,2024,9,15,07:00,3.8
Vaasa Klemettilä,2024,9,15,08:00,3.6
Vaasa Klemettilä,2024,9,15,09:00,3.2
Vaasa Klemettilä,2024,9,15,10:00,3.2
Vaasa Klemettilä,2024,9,15,11:00,3.2
Vaasa Klemettilä,2024,9,15,12:00,4.1
Vaasa Klemettilä,2024,9,15,13:00,2.9
Vaasa Klemettilä,2024,9,15,14:00,3
Vaasa Klemettilä,2024,9,15,15:00,3.4
Vaasa Klemettilä,2024,9,15,16:00,3.3
Vaasa Klemettilä,2024,9,15,17:00,3.5
Vaasa Klemettilä,2024,9,15,18:00,3.5
Vaasa Klemettilä,2024,9,15,19:00,3.1
Vaasa Klemettilä,2024,9,15,20:00,2.2
Vaasa Klemettilä,2024,9,15,21:00,1.8
Vaasa Klemettilä,2024,9,15,22:00,2
Vaasa Klemettilä,2024,9,15,23:00,1.6
Vaasa Klemettilä,2024,9,16,00:00,2.4
Vaasa Klemettilä,2024,9,16,01:00,2.7
Vaasa Klemettilä,2024,9,16,02:00,2.6
Vaasa Klemettilä,2024,9,16,03:00,3
Vaasa Klemettilä,2024,9,16,04:00,3.5
Vaasa Klemettilä,2024,9,16,05:00,3.2
Vaasa Klemettilä,2024,9,16,06:00,3.5
Vaasa Klemettilä,2024,9,16,07:00,3.4
Vaasa Klemettilä,2024,9,16,08:00,3.6
Vaasa Klemettilä,2024,9,16,09:00,3.6
Vaasa Klemettilä,2024,9,16,10:00,3
Vaasa Klemettilä,2024,9,16,11:00,2.5
Vaasa Klemettilä,2024,9,16,12:00,2.5
Vaasa Klemettilä,2024,9,16,13:00,2.3
Vaasa Klemettilä,2024,9,16,14:00,2.7
Vaasa Klemettilä,2024,9,16,15:00,2.9
Vaasa Klemettilä,2024,9,16,16:00,3.3
Vaasa Klemettilä,2024,9,16,18:00,2.8
Vaasa Klemettilä,2024,9,16,19:00,2.5
Vaasa Klemettilä,2024,9,16,20:00,1.7
Vaasa Klemettilä,2024,9,16,21:00,1.1
Vaasa Klemettilä,2024,9,16,22:00,1.4
Vaasa Klemettilä,2024,9,16,23:00,1.8
Vaasa Klemettilä,2024,9,17,00:00,2.3
Vaasa Klemettilä,2024,9,17,01:00,2.2
Vaasa Klemettilä,2024,9,17,02:00,2.9
Vaasa Klemettilä,2024,9,17,03:00,3.5
Vaasa Klemettilä,2024,9,17,04:00,2.9
Vaasa Klemettilä,2024,9,17,05:00,3.2
Vaasa Klemettilä,2024,9,17,06:00,3.1
